Date,market_cap,block_difficulty,hash_rate,btc_price,transaction_count
2017-05-08,25255989298.622833,521974519553.6265,4084876.929385929,1548.2211835935527,327549.85714285716
2017-05-15,28812040055.255978,554029375052.3944,4265049.246916981,1764.7418366034885,326156.71428571426
2017-05-22,31746166817.823505,559970892890.8385,4179422.225419399,1942.835642385404,309474.71428571426
2017-05-29,36973218789.223175,594393387145.1709,4735448.857249832,2260.861816673624,335857.0
2017-06-05,39999274336.4048,612754167481.5514,5113217.048371875,2443.696188031227,302677.71428571426
2017-06-12,46201022061.0552,678760110082.9894,5138325.294248946,2820.2161698421987,282053.71428571426
2017-06-19,41661395763.109314,688462759678.2004,5002397.0155190015,2541.117131301663,264644.4285714286
2017-06-26,42732579080.002884,711697198173.7551,4988391.0058375755,2604.46985673374,250017.42857142858
2017-07-03,41213224700.01417,710823982545.4183,5470872.098996149,2509.9226754821743,243498.85714285713
2017-07-10,41520782746.11227,708659466230.3292,5495513.890136259,2526.5514722927255,231754.0
2017-07-17,36111674747.45017,757823904504.2885,5809263.118836187,2195.5351886574285,236244.14285714287
2017-07-24,43245164232.158134,804525194568.1292,6513172.479175085,2627.003067220507,236590.57142857142
2017-07-31,44385837725.48467,841156942264.3043,6261254.046309923,2694.063608662436,225150.57142857142
2017-08-07,49296427357.10072,860221984436.22,6646415.866424798,2989.6652143650326,211587.42857142858
2017-08-14,61552386909.12687,909535006707.0178,6404811.898274547,3729.990304441847,265471.5714285714
2017-08-21,68842045831.64996,923233068448.906,6595647.107452421,4168.643147223847,279928.85714285716
2017-08-28,70744540808.52391,898437303108.3236,5354837.640294171,4280.977155610754,233424.7142857143
2017-09-04,76643500634.07182,888171856257.3236,7234499.718920605,4634.383122718543,259448.42857142858
2017-09-11,72956067915.98174,915168169584.6749,7734823.239774503,4407.44616339651,250061.42857142858
2017-09-18,62726188558.932014,942235294091.4092,8012624.069305696,3785.9498145194957,246671.57142857142
2017-09-25,62605545365.50347,1103400932964.29,8023823.782361942,3775.600866076649,230827.42857142858
2017-10-02,70039604374.05392,1106391584435.0972,8241950.7639113525,4220.595080571095,250911.57142857142
2017-10-09,73610966815.58092,1123863285132.97,8795148.102534698,4432.2452109042315,263099.71428571426
2017-10-16,89746990692.01439,1142990558693.2358,8937758.043814268,5399.363388118895,298508.0
2017-10-23,96961024724.32185,1196792694098.79,10011803.07028413,5828.362702805379,321687.85714285716
2017-10-30,97480632892.59068,1349404885265.77,9633301.05998182,5854.632819403856,289990.28571428574
2017-11-06,117050764629.71133,1452839779145.92,9976823.180577893,7024.89106767137,295282.14285714284
2017-11-13,111959393532.38927,1410209817600.1914,8790373.652423369,6714.712166485765,276931.4285714286
2017-11-20,127519459731.84538,1364422081125.15,10367656.401320854,7642.404928529681,296771.14285714284
2017-11-27,144229072047.25174,1356521824444.4272,10654000.098308086,8636.640700676297,341494.5714285714
2017-12-04,177285163862.42767,1347001430558.5613,11450126.536080271,10606.975177757366,377164.85714285716
2017-12-11,254422361039.38727,1530849707705.9243,12821328.695210172,15208.312343115986,388968.71428571426
2017-12-18,301696328374.49835,1610168625588.4028,14115720.721048042,18018.14069203473,406201.5714285714
2017-12-25,256301672181.15128,1873105475221.6199,13155477.122514872,15294.950367871757,324896.14285714284
2018-01-01,240323239006.52222,1880439060513.4885,14396207.547917185,14330.313497244728,298832.5714285714
2018-01-08,264008636134.27313,1931136454487.7144,15565278.744736714,15729.262277072728,368528.5714285714
2018-01-15,234051625620.07562,2046350289124.7642,16707675.684196943,13932.5514017283,302052.5714285714
2018-01-22,192645657643.73874,2227847638503.63,18921900.07675483,11457.870487100257,267833.85714285716
2018-01-29,188262005187.64893,2477209122554.7056,19783129.03743527,11187.255831677385,230160.85714285713
2018-02-05,149329621164.14413,2603077300218.5815,20944261.594842643,8866.822106454036,217575.14285714287
2018-02-12,139124590018.4598,2837700534130.25,20857282.09164537,8253.85216201887,188406.57142857142
2018-02-19,171017823402.3471,2874674234415.94,22537502.534906086,10137.76623624448,184440.42857142858
2018-02-26,172066285300.71414,3002408935948.973,22688805.13364526,10192.030990356505,179263.57142857142
2018-03-05,186651630444.30014,3041055528144.3433,24019560.477947097,11046.821096267842,196513.14285714287
2018-03-12,160972515794.6625,3290605988755.0,25120739.89526093,9519.531560115214,186519.7142857143
2018-03-19,141756964333.08078,3328994816545.9443,24993153.72166074,8376.551150789013,184438.57142857142
2018-03-26,146325765670.81107,3462542391191.56,24490774.315239217,8640.048069675211,176393.7142857143
2018-04-02,122202767368.3522,3474222689380.566,25836814.87235313,7210.241959213496,170043.14285714287
2018-04-09,116901838140.59106,3511060552899.7314,27227579.616213955,6891.945354763297,172654.57142857142
2018-04-16,130911703210.77657,3647292070897.3525,28050755.350981615,7711.510088669951,189724.42857142858
2018-04-23,145039784654.50714,3839316899029.6787,30236643.910427697,8536.90368819404,202566.2857142857
2018-04-30,157203853669.6122,3933445728137.586,28112279.443543028,9245.904248643234,213704.2857142857
2018-05-07,161535683498.46994,4022059196164.953,29562209.250922915,9493.451841863573,205006.85714285713
2018-05-14,150372373101.03287,4091533182941.943,29770553.62712577,8830.769077147868,199840.85714285713
2018-05-21,141782663339.32352,4143878474754.1943,31193273.609999485,8319.911029974117,193938.7142857143
2018-05-28,127435005060.11049,4248628441590.5156,33626579.01554167,7472.102069174252,189059.14285714287
2018-06-04,128390919246.13109,4306949573981.5,35081752.7743719,7521.877109167572,195209.0
2018-06-11,126169787173.89197,4868275707060.079,35157895.260269955,7385.833724638891,199173.42857142858
2018-06-18,111151836768.29912,4940704885521.83,37928239.6504737,6501.78269863071,191229.0
2018-06-25,109572816825.71115,5070564769243.391,40295128.525351085,6404.2733062536545,188242.42857142858
2018-07-02,106797506651.47385,5092576370424.424,36307602.341164626,6237.168410035901,186711.85714285713
2018-07-09,113380337826.01578,5363678461481.368,37975716.11704216,6616.885555439594,193117.14285714287
2018-07-16,108688715802.09314,5363678461481.368,36337846.71580564,6338.433850505134,196917.85714285713
2018-07-23,127521189199.20193,5180831982011.439,42052233.06732428,7431.018877556984,214451.42857142858
2018-07-30,140539399362.95816,5351607710061.701,42343368.16395746,8182.835388745097,222329.2857142857
2018-08-06,125817447467.13734,5949437371609.51,45756461.59513571,7319.951036862318,217076.85714285713
2018-08-13,109547906193.13623,6112451543667.482,48080963.62778125,6368.300697754029,213279.2857142857
2018-08-20,109373332510.08011,6389316883511.97,48186682.03718482,6353.118418719213,219483.14285714287
